Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
897;1056;111;694;0;
1265;1586;157;686;0;
1500;2532;242;662;0;
1440;2346;248;644;0;
1141;40;201;640;0;
1069;13;213;657;0;
1084;102;196;682;0;
1219;44;241;698;0;
1393;0;227;712;0;
1377;8;235;712;0;
1356;4;226;713;0;
1344;16;227;714;0;
1327;3;224;714;0;
1317;0;223;715;0;
1304;0;221;715;0;
1296;8;221;715;0;
1286;2;219;716;0;
1280;14;219;716;0;
1271;15;218;716;0;
1267;0;217;717;0;
1261;6;217;717;0;
1257;129;216;717;0;
1255;113;216;717;0;
1256;123;216;717;0;
1217;86;203;717;0;
365;66;153;722;0;
33;80;160;752;1015;
0;51;201;766;-28;
735;0;132;736;0;
1049;46;175;723;0;
870;30;204;720;0;
597;49;137;722;0;
521;8;126;724;0;
608;0;123;724;0;
629;4;155;724;0;
526;3;182;725;0;
378;1;129;726;0;
350;0;100;726;0;
323;0;113;727;0;
322;0;112;727;0;
297;0;110;727;0;
296;0;109;727;0;
140;20;90;728;0;
27;77;87;729;0;
0;65;116;729;0;
0;31;68;730;0;
0;0;80;730;0;
0;5;75;730;10;
0;0;82;730;0;
0;0;79;730;4;
0;0;79;730;11;
0;2;79;730;15;
0;4;96;731;23;
0;13;98;730;0;
0;21;77;729;0;
0;4;80;729;0;
0;3;79;729;0;
0;4;79;729;0;
0;0;79;729;0;
0;2;79;729;0;
0;45;79;729;0;
0;42;79;729;0;
0;5;79;729;0;
0;2;79;729;0;
0;40;79;728;0;
0;62;79;728;0;
5;75;106;728;0;
19;48;62;728;0;
18;27;87;728;0;
18;9;79;728;0;
18;0;81;728;0;
18;4;81;728;0;
18;94;80;727;0;
18;51;80;727;0;
18;1;81;728;0;
18;23;81;728;0;
18;17;81;728;0;
18;1;81;728;0;
18;60;82;728;0;
18;121;103;722;0;
18;6;96;727;0;
18;28;99;727;0;
18;146;61;727;0;
18;53;53;727;0;
18;9;90;728;0;
18;38;82;727;0;
18;13;80;727;0;
18;0;81;727;0;
18;13;81;727;0;
18;10;81;727;0;
17;0;81;727;0;
17;2;81;727;0;
17;3;81;727;0;
17;0;81;727;0;
17;1;81;727;0;
17;2;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
17;0;81;727;0;
