Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
698;197;99;758;0;
785;112;137;755;0;
659;273;120;754;0;
615;175;154;755;0;
600;1;143;757;0;
621;56;133;757;0;
608;44;147;756;0;
600;3;144;756;0;
591;14;144;755;0;
713;16;99;753;0;
1072;1;257;751;0;
1311;6;205;746;0;
1504;196;236;741;0;
1768;1436;240;730;0;
1633;2027;286;689;0;
1602;1857;355;661;0;
1069;1480;250;628;0;
92;1642;155;621;0;
13;2490;98;623;0;
72;2335;163;618;0;
557;2340;71;607;0;
636;1973;79;599;0;
479;582;121;599;0;
452;156;118;610;0;
314;126;108;636;0;
279;180;109;653;0;
292;139;104;678;0;
298;15;112;695;0;
308;61;112;722;0;
314;73;114;739;0;
325;139;136;764;0;
327;380;135;769;0;
325;19;119;770;0;
233;155;26;770;0;
0;160;118;777;0;
469;15;73;769;0;
721;38;78;763;0;
700;47;157;761;0;
675;1;150;760;0;
661;9;152;759;0;
673;17;138;758;0;
863;458;88;747;0;
486;1926;78;746;0;
203;2671;37;734;0;
22;2806;64;714;0;
0;607;81;713;0;
0;580;42;735;0;
0;357;90;752;0;
0;459;83;759;0;
0;164;81;760;0;
0;27;81;764;0;
0;115;81;763;0;
0;49;80;762;0;
0;0;81;762;0;
0;18;81;761;0;
0;277;81;760;0;
6;2432;60;749;0;
218;2537;91;732;0;
405;2224;235;712;0;
429;1064;130;698;0;
379;145;110;715;0;
379;483;121;729;0;
376;151;120;745;0;
373;3;121;751;0;
365;2041;118;744;0;
469;2853;175;726;0;
608;2342;132;695;0;
631;2085;165;680;0;
682;1892;154;662;0;
672;0;157;652;0;
351;1;138;673;0;
201;185;14;689;0;
24;345;182;717;0;
9;102;88;735;0;
9;25;95;760;0;
9;73;81;763;0;
10;10;115;763;0;
6;0;100;763;0;
6;41;99;762;0;
10;1062;66;759;0;
9;2039;83;741;0;
0;2056;53;735;2;
143;1925;65;727;0;
357;1895;63;722;0;
401;1024;143;717;0;
400;5;119;724;0;
399;491;135;745;0;
396;30;220;746;0;
389;1871;71;740;0;
382;2762;79;720;0;
504;2262;340;693;0;
524;2194;290;676;0;
508;2881;227;643;0;
499;2578;250;625;0;
60;1035;-41;615;0;
62;0;153;631;0;
64;883;59;657;0;
55;418;100;671;0;
31;5;77;700;0;
32;79;75;723;0;
32;91;85;754;0;
41;15;98;768;0;
33;26;83;772;0;
33;198;83;771;0;
1;2701;-13;757;0;
0;2489;106;737;0;
34;2252;161;728;0;
278;2322;93;719;0;
775;2322;181;698;0;
1033;1376;143;680;0;
930;42;171;672;0;
886;45;159;680;0;
1350;1928;112;680;0;
1404;2805;185;657;0;
1341;3134;104;613;0;
1047;3066;-87;585;0;
464;2784;73;560;0;
63;2716;-42;553;0;
0;1854;-54;550;0;
34;2038;16;557;0;
50;2372;-103;561;0;
52;2337;-72;561;0;
54;936;83;564;0;
46;40;258;580;0;
10;67;-47;611;0;
0;211;144;635;0;
0;473;49;664;0;
4;234;147;682;0;
23;98;-16;710;0;
57;313;192;730;0;
207;618;68;754;0;
393;1444;181;759;0;
528;2100;98;740;0;
550;2003;145;726;0;
538;1882;135;708;0;
389;19;118;700;0;
124;794;2;721;0;
0;1369;171;732;0;
28;1153;30;734;0;
109;19;53;747;0;
400;585;114;765;0;
474;387;97;763;0;
884;0;249;764;0;
1368;65;224;759;0;
1312;268;240;752;0;
1284;185;229;749;0;
1213;0;201;749;0;
1246;95;201;751;0;
1223;321;215;750;0;
1205;217;212;748;0;
1188;56;208;749;0;
1182;38;208;750;0;
1178;3;208;750;0;
1176;58;205;750;0;
1169;57;205;749;0;
1163;27;205;749;0;
1156;37;205;748;0;
1156;51;204;748;0;
1161;39;202;747;0;
1168;11;207;747;0;
1173;56;205;746;0;
1175;55;206;745;0;
1177;29;207;745;0;
1179;47;207;745;0;
1188;84;206;743;0;
1199;104;208;743;0;
1219;102;211;742;0;
1233;34;212;742;0;
1250;46;212;741;0;
1260;26;215;741;0;
1274;39;217;740;0;
1281;0;218;740;0;
1286;36;219;740;0;
