rpm_r;pwm;e;errSum;dErr;rpm;
1591;0;-1591.732;-26.58192;255.5728;2000;
1565;0;-1565.275;-26.14009;246.8086;2000;
1539;0;-1539.272;-25.70584;254.2644;2000;
1514;0;-1514.708;-25.29561;243.4828;2000;
1490;0;-1490.87;-24.89754;232.9131;2000;
1467;0;-1467.848;-24.51306;228.7539;2000;
1445;0;-1445.625;-24.14194;217.5483;2000;
1423;0;-1423.64;-23.77479;214.9973;2000;
1402;0;-1402.758;-23.42605;197.7905;2000;
1382;0;-1382.456;-23.08701;208.2651;2000;
1363;0;-1363.162;-22.76481;191.051;2000;
1344;0;-1344.352;-22.45068;185.0279;2000;
1326;0;-1326.086;-22.14563;179.8235;2000;
1308;0;-1308.292;-21.84848;174.312;2000;
1290;0;-1290.827;-21.5568;172.1045;2000;
1328;0;-1328.282;-22.18231;187.6447;2000;
1367;0;-1367.119;-22.83088;191.475;2000;
1347;0;-1347.842;-22.50897;190.4662;2000;
1328;0;-1328.51;-22.18612;184.9767;2000;
1309;0;-1309.442;-21.86768;195.0128;2000;
1289;0;-1289.639;-21.53698;197.4396;2000;
1270;0;-1270.763;-21.22174;176.3587;2000;
1607;0;-1607.53;-26.84576;-4027.867;2000;
1856;0;-1856.211;-30.99872;-4188.035;2000;
1818;0;-1818.981;-30.37698;358.6236;2000;
1783;0;-1783.463;-29.78383;359.3765;2000;
1750;0;-1750.065;-29.22609;329.3121;2000;
1717;0;-1717.938;-28.68956;312.9751;2000;
1686;0;-1686.934;-28.1718;294.0944;2000;
1656;0;-1656.984;-27.67163;285.2206;2000;
1628;0;-1628.196;-27.19087;280.0161;2000;
1600;0;-1600.713;-26.7319;270.4771;2000;
1574;0;-1574.014;-26.28604;265.6893;2000;
1614;0;-1614.481;-26.96183;279.8919;2000;
1655;0;-1655.67;-27.64968;300.0006;2000;
1627;0;-1627.148;-27.17338;282.3114;2000;
1594;0;-1594.217;-26.62343;356.5184;2000;
1564;0;-1564.026;-26.11924;263.2552;2000;
1536;0;-1536.292;-25.65607;304.6057;2000;
1572;0;-1572.682;-26.2638;260.4776;2000;
1546;0;-1546.668;-25.82936;262.5389;2000;
1521;0;-1521.651;-25.41158;240.5735;2000;
1631;0;-1631.229;-27.24153;-3924.677;2000;
2066;0;-2066.482;-34.51024;-4688.26;2000;
2278;0;-2278.773;-38.05551;690.611;2000;
2216;0;-2216.529;-37.01604;604.3577;2000;
2158;0;-2158.162;-36.0413;566.2308;2000;
2103;0;-2103.38;-35.12644;535.0919;2000;
2050;0;-2050.309;-34.24016;512.2568;2000;
2000;0;-2000.406;-33.40678;481.8415;2000;
1952;0;-1952.673;-32.60964;473.1723;2000;
1902;0;-1902.174;-31.76631;493.1129;2000;
1853;0;-1853.864;-30.95953;475.8915;2000;
1801;0;-1801.575;-30.08631;590.3087;2000;
1731;0;-1731.227;-28.9115;676.3061;2000;
2110;0;-2110.132;-35.2392;891.3033;2000;
2206;0;-2206.954;-36.85613;680.4506;2000;
2149;0;-2149.217;-35.89192;693.988;2000;
2175;0;-2175.733;-36.33474;636.6954;2000;
2105;0;-2105.259;-35.15783;781.5424;2000;
2029;0;-2029.603;-33.89437;690.5159;2000;
1963;0;-1963.437;-32.78939;657.1915;2000;
1903;0;-1903.405;-31.78686;518.6892;2000;
1864;0;-1864.443;-31.13619;325.1968;2000;
1827;0;-1827.397;-30.51752;378.5422;2000;
1785;0;-1785.712;-29.82139;506.7014;2000;
1740;0;-1740.541;-29.06703;442.0992;2000;
